resample,delta_fpr
904,-0.05147717099373321
905,-0.03266070314125234
906,-0.05147058823529412
907,-0.040193279156600044
908,-0.014918726341572031
909,-0.0685589519650655
910,-0.04121426988699313
911,-0.03531229309203266
912,-0.04576502732240437
913,-0.05397793945083314
914,-0.045589482612383374
915,-0.032467532467532464
916,-0.03892556339631232
917,-0.03333333333333333
918,-0.04031379385487034
919,-0.04005461993627674
920,-0.040061974324922534
921,-0.04305014884359972
922,-0.02868852459016394
923,-0.041493775933609964
924,-0.03429895712630359
925,-0.03505535055350554
926,-0.04450139794967381
927,-0.01841936174769758
928,-0.04342190537913156
929,-0.027630180658873543
930,-0.04790281916112766
931,-0.0350109409190372
932,-0.05743959304790165
933,-0.038078370599955724
934,-0.05232029117379436
935,-0.02572131514202639
936,-0.025979945305378307
937,-0.04931748128577719
938,-0.0506532202612881
939,-0.02823043378471425
940,-0.026280018124150428
941,-0.049054905490549056
942,-0.02014611467788355
943,-0.04129387474191328
944,-0.031431334622823985
945,-0.04418394950405771
946,-0.03374777975133215
947,-0.03765342209278136
948,-0.030670470756062766
949,-0.03804226918798665
950,-0.0478448275862069
951,-0.03527845573552252
952,-0.02980521004459047
953,-0.03431262614936084
954,-0.023019142234068327
955,-0.02965077970568856
956,-0.027993779160186624
957,-0.051375312571038875
958,-0.03095345684591053
959,-0.04845616407482533
960,-0.062299587723316535
961,-0.03400309119010819
962,-0.03483952702702703
963,-0.04066877541798464
964,-0.03215284249767009
965,-0.04591836734693878
966,-0.06153846153846154
967,-0.07209962857767097
968,-0.042056074766355145
969,-0.0397335236735665
970,-0.022217333919929607
971,-0.019212746016869727
972,-0.05226868327402135
973,-0.035869565217391305
974,-0.02530837941301574
975,-0.014558689717925387
976,-0.03947979563399907
977,-0.0170736978603847
978,-0.03480799461037503
979,-0.03253462299406463
980,-0.05952380952380952
981,-0.035291331122690665
982,-0.06349567592171143
983,-0.05028184892897407
984,-0.05537609598523304
985,-0.04971277065841803
986,-0.0480684811237928
987,-0.03855637749383546
988,-0.04299065420560748
989,-0.03935135135135135
990,-0.008695652173913044
991,-0.029338185126222428
992,-0.04543419874664279
993,-0.04248220640569395
994,-0.034893801473775465
995,-0.06685417568152315
996,-0.038341506910387874
997,-0.05708618029534935
998,-0.044134461468099705
999,-0.031320926009986386
1000,-0.024040684234858993
1001,-0.024250743536948064
1002,-0.03861517976031958
1003,-0.02021883920076118
1004,-0.04923215898825655
1005,-0.029111111111111112
1006,-0.040075436115040074
