resample,delta_f1
1129,-0.057364667590677015
1130,-0.13135569678020872
1131,-0.09992903026222405
1132,-0.17160894348918632
1133,-0.09961972807491026
1134,-0.22362045979254064
1135,-0.132962368163631
1136,-0.13036288792734785
1137,-0.06993139574426899
1138,-0.10493245167874896
1139,-0.11491960174605614
1140,-0.12387382528737614
1141,-0.09849523677073915
1142,-0.10612365140034224
1143,-0.1280699570996438
1144,-0.1194863000933806
1145,-0.03164273931219064
1146,-0.16350727146226812
1147,-0.055638571837344636
1148,-0.09360908379285218
1149,-0.10150379743176546
1150,-0.07947456755629281
1151,-0.17917353382226195
1152,-0.12139392234276408
